ride_id,datetime,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,status,ride_type,supply,demand
3e6f040a-9b45-45d3-94df-4274434ea8a0,02/12/2024 17:08,37.75999474,-122.4082752,37.78251012,-122.4148024,completed,UberPool,188,102
24f84519-26a0-436c-a231-62b764a036ea,07/12/2024 05:47,37.77207919,-122.4346116,37.78782153,-122.4106277,completed,UberX,123,185
4b498270-57d6-4236-91c3-e6e202f64961,05/12/2024 22:01,37.7590378,-122.4383059,37.77252144,-122.4106654,completed,UberPool,79,152
bc0147d7-60b3-41f3-aa44-8888fa3956f4,01/12/2024 00:25,37.78489873,-122.4248941,37.79070469,-122.4228798,completed,UberPool,133,110
5d127a51-560d-475f-833b-13dfc03f9a52,04/12/2024 10:32,37.76962604,-122.4275823,37.75529561,-122.4218205,cancelled,UberBlack,154,68
e16d3aad-841e-4a86-a34c-e06888e94e0f,05/12/2024 17:16,37.77908255,-122.4302316,37.78747519,-122.4330845,cancelled,UberBlack,169,194
9b434fc8-9c67-4dd8-b3f6-afd7f059f29e,03/12/2024 08:39,37.78026371,-122.4185254,37.78475683,-122.4063211,cancelled,UberBlack,66,156
e7ebbcf9-ca03-47e8-823f-e2e85693782c,05/12/2024 13:27,37.75891968,-122.4093462,37.77380747,-122.4018148,cancelled,UberX,137,162
47d78e7a-493e-49f1-a7dd-55ef97934b2d,04/12/2024 20:49,37.78169512,-122.4385299,37.78860587,-122.4281153,completed,UberPool,195,98
7c84b261-9fe3-4728-964c-f420bd7e70db,06/12/2024 02:16,37.76541712,-122.4130709,37.76769609,-122.4385574,cancelled,UberBlack,63,135
798f6452-08d5-48e9-8480-b0327ff49ed8,03/12/2024 07:55,37.76820263,-122.40881,37.76770001,-122.4101113,cancelled,UberX,136,108
7b543ba3-b15d-4d1c-8282-be87717244be,05/12/2024 20:07,37.79150553,-122.4381399,37.78618108,-122.4181366,no_driver_available,UberX,159,92
1b907e62-f174-4325-9d1c-ee0806104550,01/12/2024 22:06,37.76113167,-122.4164538,37.78269939,-122.4375942,cancelled,UberBlack,104,159
a2e3cdf9-acb0-4c04-bf37-c041c27ea151,05/12/2024 17:11,37.77568883,-122.4252148,37.78382316,-122.4021072,cancelled,UberPool,196,117
424569cc-1441-42a3-ba12-3b4a83603ee6,06/12/2024 09:08,37.79060144,-122.4133265,37.77060426,-122.4169299,no_driver_available,UberX,163,184
d2cb3f97-23de-4f98-882a-e2926ff1460c,03/12/2024 00:39,37.7616949,-122.4373924,37.76519896,-122.4392044,no_driver_available,UberBlack,99,200
99e59fe9-f502-44ee-9723-fe0c81704c0a,04/12/2024 17:55,37.77435969,-122.4327037,37.78326078,-122.4393009,no_driver_available,UberX,112,59
b306ba7c-24fe-4057-8a02-807d288ac42e,02/12/2024 19:27,37.79087334,-122.4320185,37.7852836,-122.4122978,no_driver_available,UberBlack,145,79
9e521517-56c8-4668-99b0-5f3f5b28099f,04/12/2024 13:01,37.75606708,-122.421709,37.75961985,-122.4017469,cancelled,UberBlack,99,194
